Rating,Title,New Desc,Level,BodyPart,Type,Equipment
Bad,Kettlebell 3-point leg extension,"The kettlebell 3-point leg extension is a dynamic core exercise performed around and over a kettlebell or other short, stationary object. It is similar in some ways to a V-up or reverse crunch, but targets both the obliques and the rectus abdominis or ""six-pack"" muscles. It can be performed for reps or for time, usually in dedicated ab training or as part of a kettlebell and bodyweight circuit workout.",Intermediate,Abdominals,Strength,Kettlebells
Bad,Double Kettlebell Swing,None,Intermediate,Abdominals,Strength,Kettlebells
Bad,Burpee over kettlebell,"The burpee over kettlebell is a more advanced version of a popular conditioning exercise. If you're performing a circuit that already has both burpees and kettlebell movements, it's a simple way to provide a novel stimulus to the muscles of the lower body and create a more athletic style of training.",Intermediate,Abdominals,Strength,Kettlebells
Best,Kettlebell toe-touch,"The kettlebell toe-touch is a more difficult version of a highly popular abdominal movement usually done for high reps. The simple addition of a weight makes the toe-touch far more difficult, providing a different stimulus to the core during training.",Intermediate,Abdominals,Strength,Kettlebells
Bad,Kettlebell swing,"The kettlebell swing is a popular lower-body exercise emphasizing the hamstrings, glutes, and back muscles. It is often used to train explosive power, for aerobic or cardiovascular conditioning, in circuit training, or as an accessory movement for the deadlift.",Intermediate,Abdominals,Strength,Kettlebells
Good,Two-way swing,"The two-way kettlebell swing is an exercise that alternates a chest-height kettlebell swing (sometimes called a ""Russian"" or ""hardstyle"" swing) with an overhead kettlebell swing (sometimes called an ""American"" swing). Both swing variations work many of the same muscles, such as the hamstrings, glutes, and core, but because the weight must travel farther in the overhead swing, it's slightly more metabolically demanding and works the upper back and shoulders more. This combo can be performed for time or reps and works especially well in circuit-style or full-body training. If you can't perform the overhead swing without lower back or shoulder pain, just perform the chest-height swing.",Intermediate,Abdominals,Strength,Kettlebells
Best,Kettlebell crab reach,"The kettlebell crab reach is a kettlebell pressing exercise in which the lifter presses a kettlebell overhead while in a modified single-arm bridge position. The simple addition of a weight makes the reach far more difficult, challenging the muscles of the back, shoulders, glutes, and core.",Intermediate,Abdominals,Strength,Kettlebells
Best,Taylor Single-Arm Kettlebell Swing,None,Intermediate,Abdominals,Strength,Kettlebells
Bad,Holman Kettlebell Up to Elbow Down,None,Intermediate,Abdominals,Strength,Kettlebells
Bad,FYR2 Double-Kettlebell Ski,None,Intermediate,Abdominals,Strength,Kettlebells
Bad,FYR2 Kettlebell Hike,None,Intermediate,Abdominals,Strength,Kettlebells
Good,FYR2 Kettlebell Cross-Body Catch,None,Intermediate,Abdominals,Strength,Kettlebells
Good,FYR2 Kettlebell Duck Walk,None,Intermediate,Abdominals,Strength,Kettlebells
Best,FYR2 Kettlebell Get-Up Reach,None,Intermediate,Abdominals,Strength,Kettlebells
Bad,FYR2 Kettlebell Juggle,None,Intermediate,Abdominals,Strength,Kettlebells
Best,FYR2 Squat-Clean-Alternating-Press Complex,None,Intermediate,Abdominals,Strength,Kettlebells
Best,Dumbbell V-Sit Cross Jab,"The dumbbell V-sit cross jab is a hybrid movement that trains the abdominal and shoulder muscles simultaneously. It can address multiple muscle groups in a time-efficient muscle-building or circuit-style workout, while also providing a cardiovascular challenge.",Intermediate,Abdominals,Strength,Dumbbell
Best,Dumbbell spell caster,"The dumbbell spell caster is an exercise that primarily targets the abdominal muscles such as the obliques. However, it also works shoulders, back, hips, and legs, and demands all of those muscles work together in a coordinated motion. It is usually performed with relatively light weights for moderate to high reps, at least 8-12 reps per side. Make sure to only use a weight you can control.",Beginner,Abdominals,Strength,Dumbbell
Best,Dumbbell side bend,"The dumbbell side bend is a popular exercise for targeting the oblique muscles of the abdomen. It is usually performed for relatively high reps, at least 8-12 reps per set or more. It can be performed one side at a time or alternating sides.",Intermediate,Abdominals,Strength,Dumbbell
Good,Dumbbell crunch,"The dumbbell crunch is a more difficult version of a highly popular abdominal movement. The simple addition of a weight makes the crunch far more difficult, providing a different stimulus to the core during training.",Intermediate,Abdominals,Strength,Dumbbell
Bad,Dumbbell Fix Dumbbell Sprawl,None,Intermediate,Abdominals,Strength,Dumbbell
Bad,Dumbbell Fix Alternating Renegade Row,None,Intermediate,Abdominals,Strength,Dumbbell
Good,Dumbbell Fix Dumbbell Mountain Climber,None,Intermediate,Abdominals,Strength,Dumbbell
Good,Dumbbell Fix Dumbbell Russian Twist,None,Intermediate,Abdominals,Strength,Dumbbell
Good,Dumbbell Fix Dumbbell Pull-Over,None,Intermediate,Abdominals,Strength,Dumbbell
Good,Dumbbell Fix Dumbbell Sit-Up,None,Intermediate,Abdominals,Strength,Dumbbell
Good,Dumbbell Fix Dumbbell Front Squat,None,Intermediate,Abdominals,Strength,Dumbbell
Bad,Dumbbell Fix Full Man Maker,None,Intermediate,Abdominals,Strength,Dumbbell
Best,Dumbbell T-hold,"The dumbbell T-hold is a static exercise that primarily targets the obliques, although it also works the shoulders and upper back. It involves holding a dumbbell in the air while in a side plank position. It is usually performed for timed holds, although it can be performed dynamically for reps as a plank with dumbbell rotation.",Intermediate,Abdominals,Strength,Dumbbell
Good,Dumbbell hollow-body floor press,The dumbbell hollow-body floor press combines upper-body strength and core work in one move.,Intermediate,Abdominals,Strength,Dumbbell
Bad,Dumbbell crusher,"The dumbbell crusher is a dumbbell complex that combines a squat with a dumbbell curl, followed by a triceps press. It targets the legs, glutes, biceps, shoulders, and triceps in a single sequence, making it a great way to burn serious calories and hit a lot of muscles in a short period of time. The upper-body movements will determine the amount of weight you can effectively use.",Intermediate,Abdominals,Strength,Dumbbell
Best,Dumbbell Crunch - Gethin Variation,"The dumbbell crunch is a more difficult version of a highly popular abdominal movement. The simple addition of a weight makes the crunch far more difficult, providing a different stimulus to the core during training.",Intermediate,Abdominals,Strength,Dumbbell
Best,Single-arm dumbbell crunch,"The single-arm dumbbell crunch is a more difficult version of a highly popular abdominal movement. Adding a weight to one side makes the crunch far more difficult to your rectus abdominis or ""six-pack"" muscles, as well as the obliques and deep core muscles.",Intermediate,Abdominals,Strength,Dumbbell
Good,HM Alternating Dumbbell Plank Row,None,Intermediate,Abdominals,Strength,Dumbbell
Best,Dumbbell straight-legged hip raise,The dumbbell straight-legged hip raise works the hips and glutes. It requires and teaches body control and coordination.,Intermediate,Abdominals,Strength,Dumbbell
Good,Seated leg tuck with dumbbell,The seated leg tuck with dumbbell is an ab exercise requiring only a bench and a dumbbell. It's commonly performed for high reps as a burnout at the end of a core workout.,Intermediate,Abdominals,Strength,Dumbbell
Bad,Dumbbell V-sit cross jab-,"The dumbbell V-sit cross jab is a hybrid movement that trains the abdominal and shoulder muscles simultaneously. It can address multiple muscle groups in a time-efficient muscle-building or circuit-style workout, while also providing a cardiovascular challenge.",Intermediate,Abdominals,Strength,Dumbbell
Good,30 Hanging Leg Raise With Dumbbell,None,Intermediate,Abdominals,Strength,Dumbbell
Best,Dumbbell Get-Up Sit-Up,None,Expert,Abdominals,Strength,Dumbbell
Bad,Holman Right Side Plank with Left Triceps Press,None,Intermediate,Abdominals,Strength,Dumbbell
Good,Holman Left Side Plank with Right Triceps Press,None,Intermediate,Abdominals,Strength,Dumbbell
Good,Holman Boat with Feet Push-Out and Overhead Press,None,Intermediate,Abdominals,Strength,Dumbbell
Bad,Holman Hovering Plank Row,None,Intermediate,Abdominals,Strength,Dumbbell
Best,Holman Weighted Seated Killer Abs to Russian Twist,None,Intermediate,Abdominals,Strength,Dumbbell
Good,Holman Straight Plank Dumbbell Reach-Under,None,Intermediate,Abdominals,Strength,Dumbbell
Best,Holman Straight-Arm Side Plank Overhead Press to Chest Press,None,Intermediate,Abdominals,Strength,Dumbbell
Good,Holman Weighted Burpee to Pike,None,Intermediate,Abdominals,Strength,Dumbbell
Bad,Holman Straight-Legged Boat Chest Press,None,Intermediate,Abdominals,Strength,Dumbbell
Bad,Holman Weighted Burpee to Side Delt Raise,None,Intermediate,Abdominals,Strength,Dumbbell
Good,Holman Heavy Double Pike,None,Intermediate,Abdominals,Strength,Dumbbell
Bad,Holman Heavy Double Split Pike,None,Intermediate,Abdominals,Strength,Dumbbell
Good,MetaBurn Alternating Dumbbell Sit-Through,None,Intermediate,Abdominals,Strength,Dumbbell
Good,MetaBurn Alternating Plank Row With Dumbbell Pull-Through,None,Intermediate,Abdominals,Strength,Dumbbell
Good,MetaBurn Alternating Plank Row With Push-Up,None,Intermediate,Abdominals,Strength,Dumbbell
Best,MetaBurn Dumbbell Russian Twist,None,Intermediate,Abdominals,Strength,Dumbbell
Bad,MetaBurn Dumbbell Toe-Touch,None,Intermediate,Abdominals,Strength,Dumbbell
Best,MetaBurn Plank To Alternating Row,None,Intermediate,Abdominals,Strength,Dumbbell
Best,Standing dumbbell knee crunch-,"The standing dumbbell knee crunch is a great way to train the abs while standing up. Additionally, the deltoids are worked because the lifter holds a pair of dumbbells overhead throughout.",Intermediate,Abdominals,Strength,Dumbbell
Bad,MetaBurn Plank With Dumbbell Rotation,None,Intermediate,Abdominals,Strength,Dumbbell
Bad,FYR2 Dumbbell Crab Reach,None,Intermediate,Abdominals,Strength,Dumbbell
Good,FYR2 Dumbbell Man-Maker,None,Intermediate,Abdominals,Strength,Dumbbell
Best,FYR2 Dumbbell Sit-Up Reach,None,Intermediate,Abdominals,Strength,Dumbbell
Best,FYR2 Loaded Beast Sprawl,None,Intermediate,Abdominals,Strength,Dumbbell
Bad,FYR2 Loaded to Unloaded Beast,None,Intermediate,Abdominals,Strength,Dumbbell
Good,Lying Leg Pullover,None,Intermediate,Abdominals,Strength,Dumbbell
Best,Landmine twist,"The landmine twist is a rotational abdominal movement performed using an angled barbell anchored at floor level in a landmine device. It can also be performed by sticking a barbell in the corner of a room, preferably in a towel to protect the walls. It targets the deep muscles of the core, including both the obliques and the transversus abdominis. It can be done fast or slow, for time or reps, either in traditional muscle-focused rep ranges such as 8-12 reps per side or for higher rep ranges.",Intermediate,Abdominals,Strength,Other
Best,Suspended ab fall-out,"The suspended ab fall-out is a dynamic abdominal exercise utilizing a suspension strap system or gymnastic rings. It is similar in form to an ab roller, but can more easily be scaled to be more or less difficult. It targets the muscles of the rectus abdominis or ""six-pack"" muscles, as well as the deep core muscles. It can be trained for low reps for strength or higher reps for muscle definition.",Intermediate,Abdominals,Strength,Other
Best,Decline reverse crunch,"The decline reverse crunch is a popular bodyweight exercise targeting the abdominal muscles, particularly the lower abs. It is usually performed for high reps, such as 10-15 reps per set or more, as part of the ab-focused portion of a workout.",Intermediate,Abdominals,Strength,Other
Best,Plate Twist,None,Beginner,Abdominals,Strength,Other
Best,Weighted Crunches,"The weighted suitcase crunch is a weighted version of a popular abdominal training exercise. The simple addition of a weight makes the suitcase crunch far more difficult, helping build the ""six pack"" muscles and providing a different stimulus to the core during training.",Intermediate,Abdominals,Strength,Other
Best,Ab Roller,"The ab wheel roll-out is an exercise targeting the abdominals, often with an inexpensive wheel device with a handle on either side. Many trainers and strength coaches claim it's one of, if no the best exercise for developing strength in the midsection. Beginners may have to start with a limited range of motion or just wheel planks.",Intermediate,Abdominals,Strength,Other
Best,Otis-Up,"The Otis-up is a weighted exercise focusing on the abdominal muscles, as well as the shoulders to a lesser degree. It primarily targets the rectus abdominus or “six-pack” muscles, but also involves the obliques and deep core muscles. It is normally performed on a decline bench holding a weight plate, but can also be performed with a dumbbell, kettlebell, or other weight.",Intermediate,Abdominals,Strength,Other
Best,Captain's chair knee raise,"The captain's chair knee raise is a bodyweight exercise that targets the abs. It is performed on an apparatus that allows the forearms to rest on pads and the upright torso to hang freely. Knee raises are often performed for moderate to high reps, such as 8-12 reps or more, as part of ab-focused training.",Intermediate,Abdominals,Strength,Other
Best,Sledgehammer swing,The sledgehammer swing is an exercise working the abdominals and numerous other muscles. The sledgehammer is slammed from overhead onto a tire which absorbs the impact and causes the hammer to bounce back up. It can be performed for time or reps as part of a functional fitness or athleticism-focused workout.,Intermediate,Abdominals,Plyometrics,Other
Best,Decline bar press sit-up,"The decline bar press sit-up is a weighted core exercise targeting the abdominal muscles, particularly the lower abs. It also challenges the shoulders and upper back to move the weight. Weighted sit-up variations are usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of the core-focused portion of a workout.",Intermediate,Abdominals,Strength,Barbell
Good,Pallof press,"The Pallof press is an isometric exercise that trains core stability. It involves resisting rotation from a cable or band, developing what is sometimes called ""anti-rotation"" core strength. It is most often seen in programs for athletes who compete in sports that test strength, power, and functional movements. It can be trained in timed holds or for reps by pressing the cable or band away from the body.",Intermediate,Abdominals,Strength,Other
Good,Weighted Sit-Ups - With Bands,"The weighted sit-up is a more difficult version of a highly popular abdominal movement. The simple addition of a weight makes the sit-up far more difficult, providing a different stimulus to the core during training and helping build strong abs.",Intermediate,Abdominals,Strength,Other
Bad,Suitcase crunch,"The suitcase crunch is a bodyweight movement that targets the muscles of the abs, the rectus abdominis or ""six-pack"" muscles in particular. It is similar to a V-up, but the lower back stays flat against the ground. It can be performed for time or reps in the ab-focused portion of any workout.",Intermediate,Abdominals,Strength,Other
Good,FYR Rope Jumping,"Jumping rope is classic conditioning exercise that is popular with everyone from children to boxers to CrossFit athletes. It targets many different muscles, including the calves, glutes, shoulders, and upper back, and is great for everything from fat loss to improving overall athletic performance.",Intermediate,Abdominals,Strength,Other
Best,Barbell press sit-up,"The barbell press sit-up is a weighted exercise focusing on the abdominal muscles, as well as the shoulders to a lesser degree. It primarily targets the rectus abdominis or ""six-pack"" muscles, but also involves the obliques and deep core muscles. It can be performed on the floor with the feet anchored or unanchored, or on a decline or other bench. It is similar to the Otis-up, which is performed with a weight plate.",Intermediate,Abdominals,Strength,Other
Bad,Single-arm bent-over rear delt fly,"The single-arm bent-over rear delt fly is a popular upper-body exercise that targets the muscles on the back of the shoulder joint, specifically the rear head of the deltoid. Since pressing movements build the front and (to a lesser degree) side deltoid heads, this move is often done to promote balanced shoulder development. It is usually performed for high reps, such as 10-15 reps per set or more, as part of a shoulder or upper-body workout.",Intermediate,Abdominals,Strength,Other
Bad,Captain's chair leg raise,"The captain's chair leg raise is a bodyweight exercise that targets the abs. It is performed on an apparatus that allows the forearms to rest on pads and the upright torso to hang freely. Leg raise variations are often performed for moderate to high reps, such as 8-12 reps or more, as part of ab-focused training.",Intermediate,Abdominals,Strength,Other
Bad,Shoulder-Elevated One-Leg Hip Thrusts,None,Intermediate,Abdominals,Strength,Other
Best,Ab Twist - Gethin Variation,"The cross-body sit-up is a bodyweight exercise targeting the ab muscles, the obliques and rectus abdominis or ""six-pack"" muscles in particular. It involves bringing the opposite-side knee and elbow together, usually alternating sides with each rep. It can be performed for time or reps as part of the ab-focused portion of any workout.",Intermediate,Abdominals,Strength,Other
Best,Weighted Crunch - Gethin Variation,"The weighted sit-up is a more difficult version of a highly popular abdominal movement. The simple addition of a weight makes the sit-up far more difficult, providing a different stimulus to the core during training and helping build strong abs.",Intermediate,Abdominals,Strength,Other
Best,Ab Wheel Roll-Out - Gethin Variation,"The ab wheel roll-out is an exercise targeting the abdominals, often with an inexpensive wheel device with a handle on either side. Many trainers and strength coaches claim it's one of, if no the best exercise for developing strength in the midsection. Beginners may have to start with a limited range of motion or just wheel planks.",Intermediate,Abdominals,Strength,Other
Good,Bench crunch,"The bench crunch is a popular ab exercise performed lying on a bench. It is largely similar to the same exercise performed on the floor, but being able to press the lower back into the bench pad can help reinforce proper form and increase the burn in the abs. Like most crunch variations, it is usually performed for moderate to high reps, such as 8-12 reps per set or more.",Intermediate,Abdominals,Strength,Other
Bad,Decline plate sit-up twist,"The decline plate sit-up twist is a weighted core exercise that works the obliques and rectus abdominis or ""six pack"" muscles, as well as the deep core muscles. Weighted sit-up variations are usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of the core-focused portion of a workout.",Intermediate,Abdominals,Strength,Other
Good,Reverse ab roll-out,"The reverse ab roll-out is an exercise targeting the abdominals. It's a twist on the ab wheel roll-out, and is similar to a body saw exercise, only performed on a foam roller. Instead of your arms moving and your lower body remaining stationary, your lower body moves and your arms remain stationary. Beginners may need to use a limited range of motion.",Intermediate,Abdominals,Strength,Other
Good,30 Seated Twist With PVC Pipe,The seated bar twist is a core exercise aiming to strengthen the obliques.,Intermediate,Abdominals,Strength,Other
Best,Suspended crunch-,"The suspended crunch is an abdominal exercise performed with the feet in the stirrups of a suspension strap system. It targets the muscles of the core, most prominently the rectus abdominis or ""six-pack"" muscles, but also taxes the shoulders and deep core muscles.",Intermediate,Abdominals,Strength,Other
Bad,Suspended oblique crunch,"The suspended oblique crunch is an abdominal exercise performed with the feet in the stirrups of a suspension strap system. It targets the muscles of the core, most prominently the obliques, but also the rectus abdominis or ""six-pack"" muscles, the shoulders, and deep core muscles.",Intermediate,Abdominals,Strength,Other
Best,Weighted sit-up,"The weighted sit-up is a more difficult version of a highly popular abdominal movement. The simple addition of a weight makes the sit-up far more difficult, providing a different stimulus to the core during training and helping build strong abs.",Intermediate,Abdominals,Strength,Other
Good,30 Decline Press Sit-Up,The decline bar press sit-up is a core and upper body exercise targeting the lower abdominals and shoulders.,Intermediate,Abdominals,Strength,Other
Good,Holman Towel Reverse Plank Alternating Heel Pull-in,None,Intermediate,Abdominals,Strength,Other
Good,Holman Boat with Weighted Cross Punch,None,Intermediate,Abdominals,Strength,Other
Good,Holman Weighted Hook Punch,None,Intermediate,Abdominals,Strength,Other
Best,Holman Weighted Traveling Punch,None,Intermediate,Abdominals,Strength,Other
Good,Holman Weighted Uppercut Punch,None,Intermediate,Abdominals,Strength,Other
Bad,Holman Slow Weighted Double Pike,None,Intermediate,Abdominals,Strength,Other
Best,Holman Plate Straight Plank Reach,None,Intermediate,Abdominals,Strength,Other
Bad,Holman Plate Elbow Plank Jack to Straight Plank Jack,None,Intermediate,Abdominals,Strength,Other
Best,Holman Plate Hill Climber,None,Intermediate,Abdominals,Strength,Other
Good,Holman Plate Reverse Plank Hill Climber,None,Intermediate,Abdominals,Strength,Other
Best,Holman Plate Straight Plank Pike to Jack,None,Intermediate,Abdominals,Strength,Other
Bad,Holman Plate In-and-Out Push-Up,None,Intermediate,Abdominals,Strength,Other
Bad,Holman Plate Burpee,None,Intermediate,Abdominals,Strength,Other
Bad,Holman Plate Elbow Plank Reach,None,Intermediate,Abdominals,Strength,Other
Best,Holman Elbow Plank to Renegade Row,None,Intermediate,Abdominals,Strength,Other
Best,Holman Straight Plank Weighted Hand Hill Climber,None,Intermediate,Abdominals,Strength,Other
Best,Holman Weighted Left Side Diagonal Pike,None,Intermediate,Abdominals,Strength,Other
Bad,Holman Weighted Right Side Diagonal Pike,None,Intermediate,Abdominals,Strength,Other
Good,Holman Weighted W-Boat to Overhead Press,None,Intermediate,Abdominals,Strength,Other
Best,Holman Weighted Kneeling Lift,None,Intermediate,Abdominals,Strength,Other
Best,Holman Hips-Up Weighted Pull-Over,None,Intermediate,Abdominals,Strength,Other
Good,Holman Weighted Cross Punch,None,Intermediate,Abdominals,Strength,Other
Good,Holman Straight-Leg Boat Hover Chest Press,None,Intermediate,Abdominals,Strength,Other
Bad,Holman Weighted Pike,None,Intermediate,Abdominals,Strength,Other
Best,Holman Feet-Elevated Wax-On Wax-Off,None,Intermediate,Abdominals,Strength,Other
Best,Holman Elbow Plank to Towel Pike,None,Intermediate,Abdominals,Strength,Other
Best,Holman Seated Killer Abs Overhead Press,None,Intermediate,Abdominals,Strength,Other
Best,Holman Straight Plank Alternating Weighted Open,None,Intermediate,Abdominals,Strength,Other
Bad,Holman Weighted Killer Abs with Overhead Press,None,Intermediate,Abdominals,Strength,Other
Best,Holman Weighted Split-Leg Pike,None,Intermediate,Abdominals,Strength,Other
Bad,Holman Towel Reverse Plank Heel Pull-in,None,Intermediate,Abdominals,Strength,Other
Best,Stick Twist,None,Intermediate,Abdominals,Strength,Other
Best,Roc Everest,None,Intermediate,Abdominals,Cardio,Other
Best,Standing cable low-to-high twist,"The standing cable low-to-high twist is a core exercise targeting the upper abdominals and the obliques. Take care to perform it with control, as opposed to violent twisting which can injure the back. It is usually performed for moderate to high reps, at least 8-15 per side, as part of the core-focused portion of a workout.",Intermediate,Abdominals,Strength,Cable
Best,Single-arm high-cable side bend,The single-arm high-cable side bend is an exercise targeting the obliques using a cable stack machine.,Intermediate,Abdominals,Strength,Cable
Best,Kneeling cable oblique crunch,"The kneeling cable oblique crunch is a popular core isolation exercise using a rope attachment and cable stack while kneeling on the floor. It primarily targets the obliques and rectus abdominis or ""six-pack"" muscles, but also strengthens the deep core muscles. It is most commonly performed for moderate to high reps, such as 8-12 reps per set or higher.",Intermediate,Abdominals,Strength,Cable
Best,Kneeling cable crunch,"The kneeling cable crunch is a popular core isolation exercise using a rope attachment and cable stack while kneeling on the floor. It primarily targets the rectus abdominis or ""six-pack"" muscles, but also strengthens the deep core muscles. It is most commonly performed early in an ab workout, usually in moderate to high reps, such as 8-12 reps per set or higher.",Intermediate,Abdominals,Strength,Cable
Best,Rope Crunch,"The kneeling cable crunch is a popular core isolation exercise using a rope attachment and cable stack while kneeling on the floor. It primarily targets the rectus abdominus or ""six-pack"" muscles, but also strengthens the deep core muscles. It is most commonly performed early in an ab workout, usually in moderate to high reps like 8-12 reps per set or higher.",Intermediate,Abdominals,Strength,Cable
Best,Standing cable crunch,"The standing cable crunch is a popular core isolation exercise using a rope attachment. It primarily targets the rectus abdominis or ""six-pack"" muscles, but also strengthens the deep core muscles. It is most commonly performed early in an ab workout, usually in moderate to high reps, such as 8-12 reps per set or higher.",Intermediate,Abdominals,Strength,Cable
Best,Bosu Ball Cable Crunch With Side Bends,None,Beginner,Abdominals,Strength,Cable
Good,Standing Cable Wood Chop,The standing cable high-to-low twist is a core exercise targeting the lower abdominals and the obliques.,Intermediate,Abdominals,Strength,Cable
Good,Cable reverse crunch,"The cable reverse crunch is performed on the ground facing away from a high pulley, which helps target the lower abdominals specifically.",Beginner,Abdominals,Strength,Cable
Good,Cable Russian Twists,None,Beginner,Abdominals,Strength,Cable
